team,position,name,playing_role,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
Zimbabwe,1,Regis Chakabva,Wicketkeeper Batter,98.30709401709404,27.01351351351352,62.66030376530377,0.7152322703274333,71.62363802959673
Zimbabwe,2,Craig Ervine,Middle order Batter,91.7054285714286,27.01351351351352,59.35947104247106,0.4813699387578865,65.07424403055403
Zimbabwe,3,Milton Shumba,Top order Batter,72.52570356472795,24.01201201201201,48.26885778836999,0.5776706112011523,53.84555790448782
Zimbabwe,4,Ryan Burl,Middle order Batter,97.44146269266103,24.42151351351352,60.93148810308728,0.0127326542044807,61.08665201672348
Zimbabwe,5,Wessly Madhevere,Allrounder,103.26169583996362,27.515015015015017,65.38835542748932,0.5893361643952992,73.09549994423993
Zimbabwe,6,Brad Evans,Allrounder,64.28319327731093,31.77142857142857,48.02731092436975,0.977260055551611,57.414345432758566
Zimbabwe,7,Sikandar Raza,Batting Allrounder,156.96714920399856,50.70083333333334,103.83399126866595,0.9156551993307152,122.84921806314875
Zimbabwe,8,Luke Jongwe,Bowler,69.21773835920179,35.352,52.28486917960089,0.6727844616849517,59.32015869265408
Zimbabwe,9,Richard Ngarava,Bowler,52.35428571428571,53.631428571428565,52.99285714285713,0.1686927266531718,54.780759055771256
Zimbabwe,10,Sean Williams,Middle order Batter,115.40844125264894,32.71,74.05922062632447,0.0028599890613882,74.10158233850171
Zimbabwe,11,Tony Munyonga,Allrounder,47.24285714285714,30.015015015015017,38.62893607893608,0.8872479596319978,45.48362502269426
England,1,Jos Buttler,Wicketkeeper Batter,157.95153846153846,27.01351351351352,92.482525987526,0.3550211418046324,99.0491763821396
England,2,Alex Hales,Opening Batter,170.08100628930816,24.01201201201201,97.04650915066009,0.9231055716163428,114.96334381123825
England,3,Dawid Malan,Top order Batter,64.83226890756302,24.01201201201201,44.42214045978752,0.6749939025800814,50.41907524977001
England,4,Harry Brook,Batter,62.92068965517241,30.015015015015017,46.46785233509371,0.1630433137660275,47.98310686075453
England,5,Moeen Ali,Batting Allrounder,90.70016018306636,31.53151651651652,61.11583834979144,0.575166650422108,68.14619675606914
England,6,Chris Woakes,Allrounder,92.16666666666669,33.545,62.85583333333334,0.7888754713713645,72.77291836318798
England,7,Liam Livingstone,Batting Allrounder,86.35000000000001,37.0975,61.72375,0.7385816862515008,70.84135627135322
England,8,Mark Wood,Bowler,0.0,54.35142857142857,27.175714285714285,0.4086622989251669,29.39685226070098
England,9,Chris Jordan,Bowler,0.0,46.125,23.0625,0.6126314048521233,25.888262354880418
