player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
59,Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter,Batsman,3.0,68.0,50.0,4.0,5.0,22.67,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.60352941176473,27.01351351351352,65.8085214626391,0.0855466867231097,66.93446165649418,1
60,Ibrahim Zadran,Afghanistan,Opening Batter,Batsman,3.0,80.0,83.0,6.0,2.0,26.67,96.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.26506024096383,24.01201201201201,57.638536126487935,0.416159051838464,62.43589583523919,2
61,Usman Ghani,Afghanistan,Opening Batter,Batsman,3.0,59.0,64.0,5.0,1.0,19.67,92.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.354406779661,24.01201201201201,52.68320939583651,0.754878250027212,60.63709117874576,3
210,Darwish Rasooli,Afghanistan,Top order Batter,Batsman,1.0,15.0,13.0,1.0,0.0,15.0,115.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.38461538461539,24.01201201201201,47.1983136983137,0.351437783696268,50.51576785038101,4
62,Najibullah Zadran,Afghanistan,Middle order Batter,Batsman,3.0,31.0,29.0,1.0,1.0,10.33,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.90964404894328,27.01351351351352,47.4615787812284,0.3285209975919934,50.580003822928425,5
209,Gulbadin Naib,Afghanistan,Batting Allrounder,Batsman,2.0,51.0,37.0,3.0,2.0,25.5,137.84,4.0,0.0,43.0,0.0,0.0,0.0,0.0,10.75,0.0,93.00806041335454,29.46901651651652,61.23853846493553,0.8252816758308972,71.34634719489091,6
65,Rashid Khan,Afghanistan,Bowling Allrounder,Bits and Pieces,3.0,57.0,32.0,4.0,4.0,19.0,178.12,12.0,4.0,77.0,0.0,2.0,0.0,19.25,6.42,18.0,98.46236842105264,39.49916666666667,68.98076754385966,0.4714120281900346,75.48444025065089,7
64,Azmatullah Omarzai,Afghanistan,Allrounder,Batsman,2.0,11.0,10.0,1.0,0.0,5.5,110.0,3.1,0.0,28.0,0.0,4.0,0.0,0.0,9.03,0.0,58.20909090909092,25.305337595660177,41.75721425237555,0.3707181111225279,44.85324537105142,8
66,Mujeeb Ur Rahman,Afghanistan,Bowler,Bits and Pieces,2.0,1.0,3.0,0.0,0.0,0.5,33.33,12.0,4.0,88.0,0.0,1.0,0.0,22.0,7.33,18.0,10.906666666666666,43.36,27.133333333333333,0.9680457430683698,32.38659489905102,9
211,Naveen-ul-Haq,Afghanistan,Bowler,Bowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,21.0,0.0,0.0,0.0,7.0,5.25,8.0,0.0,43.56,21.78,0.9753537544356417,26.02864095432165,10
63,Mohammad Nabi,Afghanistan,Allrounder,Batsman,3.0,17.0,15.0,1.0,0.0,5.67,113.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4921568627451,30.015015015015017,43.75358593888006,0.216643760369811,45.64937421637259,11
