player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
146,Nurul Hasan,Bangladesh,Wicketkeeper Batter,Batsman,5.0,41.0,42.0,2.0,1.0,8.2,97.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.75067363530779,27.01351351351352,47.38209357441065,0.5052744707546162,52.17028602522186,1
140,Najmul Hossain Shanto,Bangladesh,Top order Batter,Batsman,5.0,180.0,157.0,20.0,2.0,36.0,114.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.23184713375795,24.01201201201201,81.12192957288498,0.6259757158429163,91.27800115987404,2
141,Soumya Sarkar,Bangladesh,Middle order Batter,Bits and Pieces,4.0,49.0,39.0,3.0,3.0,12.25,125.64,3.0,1.0,29.0,0.0,1.0,0.0,29.0,9.67,18.0,91.65613291470434,26.49,59.07306645735217,0.551002041145432,65.58294249629633,3
147,Mosaddek Hossain,Bangladesh,Middle order Batter,Bits and Pieces,5.0,38.0,39.0,2.0,2.0,7.6,97.44,7.0,2.0,64.0,0.0,0.0,2.0,32.0,9.14,21.0,72.78021592442646,27.874285714285715,50.32725081935609,0.7949956997668495,58.32924041585124,4
144,Afif Hossain,Bangladesh,Allrounder,Bits and Pieces,5.0,95.0,76.0,6.0,3.0,19.0,125.0,1.0,1.0,11.0,0.0,0.0,0.0,11.0,11.0,6.0,91.76315789473684,31.2,61.481578947368426,0.7181696547857194,70.31241981303094,5
143,Shakib Al Hasan,Bangladesh,Allrounder,Batsman,5.0,44.0,46.0,3.0,0.0,8.8,95.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.64268774703558,30.015015015015017,44.8288513810253,0.3455116689989422,47.92662963301802,6
219,Mehidy Hasan Miraz,Bangladesh,Allrounder,Batsman,1.0,11.0,13.0,0.0,0.0,11.0,84.62,3.0,0.0,32.0,0.0,0.0,0.0,0.0,10.67,0.0,37.14615384615384,26.81501501501501,31.98058443058443,0.655802536308057,36.17517410702267,7
148,Taskin Ahmed,Bangladesh,Bowler,Bowling All-rounder,4.0,23.0,30.0,2.0,1.0,5.75,76.67,18.0,8.0,131.0,1.0,0.0,4.0,16.38,7.28,13.5,44.66202898550725,55.11333333333333,49.88768115942029,0.4841403563893115,54.7182091066119,8
152,Mustafizur Rahman,Bangladesh,Bowler,Bits and Pieces,2.0,9.0,4.0,0.0,1.0,4.5,225.0,20.0,3.0,112.0,0.0,2.0,0.0,37.33,5.6,40.0,90.16,40.434,65.297,0.0138327233802514,65.47764706771206,9
142,Litton Das,Bangladesh,Wicketkeeper Batter,Batsman,5.0,127.0,89.0,11.0,5.0,25.4,142.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.9248633106255,27.01351351351352,75.46918841206951,0.9010177888493685,89.06900466592937,10
198,Nasum Ahmed,Bangladesh,Bowler,Bits and Pieces,1.0,7.0,6.0,1.0,0.0,7.0,116.67,4.0,1.0,14.0,0.0,2.0,0.0,14.0,3.5,24.0,52.72761904761904,36.69,44.70880952380952,0.1306379154590139,45.87694265957844,11
