player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
69,Jos Buttler,England,Wicketkeeper Batter,Batsman,6.0,225.0,156.0,24.0,7.0,37.5,144.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.95153846153846,27.01351351351352,92.482525987526,0.3550211418046324,99.0491763821396,1
70,Alex Hales,England,Opening Batter,Batsman,6.0,212.0,144.0,19.0,10.0,35.33,147.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.08100628930816,24.01201201201201,97.04650915066009,0.9231055716163428,114.96334381123825,2
71,Dawid Malan,England,Top order Batter,Batsman,3.0,56.0,68.0,2.0,0.0,18.67,82.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.83226890756302,24.01201201201201,44.42214045978752,0.6749939025800814,50.41907524977001,3
74,Harry Brook,England,Batter,Batsman,5.0,56.0,58.0,2.0,1.0,11.2,96.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.92068965517241,30.015015015015017,46.46785233509371,0.1630433137660275,47.98310686075453,4
75,Moeen Ali,England,Batting Allrounder,Batsman,5.0,57.0,46.0,6.0,1.0,11.4,123.91,2.0,0.0,9.0,0.0,0.0,0.0,0.0,4.5,0.0,90.70016018306636,31.53151651651652,61.11583834979144,0.575166650422108,68.14619675606914,5
76,Chris Woakes,England,Allrounder,Bits and Pieces,1.0,5.0,3.0,1.0,0.0,5.0,166.67,20.0,5.0,172.0,0.0,9.0,0.0,34.4,8.6,24.0,92.16666666666669,33.545,62.85583333333334,0.7888754713713645,72.77291836318798,6
73,Liam Livingstone,England,Batting Allrounder,Bits and Pieces,5.0,55.0,44.0,4.0,1.0,11.0,125.0,12.0,3.0,96.0,0.0,1.0,0.0,32.0,8.0,24.0,86.35000000000001,37.0975,61.72375,0.7385816862515008,70.84135627135322,7
77,Mark Wood,England,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,108.0,0.0,4.0,0.0,12.0,7.71,9.33,0.0,54.35142857142857,27.175714285714285,0.4086622989251669,29.39685226070098,8
217,Chris Jordan,England,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,70.0,0.0,1.0,0.0,14.0,8.75,9.6,0.0,46.125,23.0625,0.6126314048521233,25.888262354880418,9
72,Ben Stokes,England,Allrounder,All-rounder,5.0,110.0,104.0,7.0,1.0,22.0,105.77,16.2,6.0,111.0,0.0,3.0,1.0,18.5,6.85,16.2,84.58041958041959,38.87037037037037,61.72539497539498,0.7011718879193358,70.38141732088786,10
216,Phil Salt,England,Wicketkeeper Batter,Batsman,1.0,10.0,9.0,2.0,0.0,10.0,111.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5888888888889,27.01351351351352,52.80120120120121,0.0508639990985838,53.33833725126161,11
