player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
212,Rishabh Pant,India,Wicketkeeper Batter,Batsman,2.0,9.0,9.0,1.0,0.0,4.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.63666666666667,27.01351351351352,44.32509009009009,0.5617096770432095,49.30465649797323,1
128,KL Rahul,India,Opening Batter,Batsman,6.0,128.0,106.0,8.0,8.0,21.33,120.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.54226415094338,24.01201201201201,75.2771380814777,0.7888241293961643,87.15322266358899,2
129,Rohit Sharma,India,Top order Batter,Batsman,6.0,116.0,109.0,11.0,4.0,19.33,106.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.94601708320153,24.01201201201201,68.97901454760677,0.7686764775755103,79.58352373342362,3
131,Suryakumar Yadav,India,Batter,Batsman,6.0,239.0,126.0,26.0,9.0,39.83,189.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.40565185627946,30.015015015015017,98.71033343564724,0.6347398717664287,111.24141031304008,4
130,Virat Kohli,India,Top order Batter,Batsman,6.0,296.0,217.0,25.0,8.0,49.33,136.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.03465437788017,24.01201201201201,107.02333319494608,0.0869109767555694,108.883633679668,5
133,Hardik Pandya,India,Allrounder,All-rounder,5.0,128.0,97.0,7.0,7.0,25.6,131.96,18.0,8.0,146.0,0.0,3.0,1.0,18.25,8.11,13.5,107.58975515463916,42.67777777777778,75.13376646620847,0.5291506432869845,83.08518263784212,6
135,Ravichandran Ashwin,India,Bowling Allrounder,Bowling All-rounder,4.0,21.0,18.0,1.0,1.0,5.25,116.67,19.0,6.0,155.0,0.0,5.0,0.0,25.83,8.16,19.0,60.52714285714286,41.62631578947368,51.07672932330827,0.6221578662733372,57.43228710971032,7
132,Axar Patel,India,Bowling Allrounder,Bits and Pieces,3.0,9.0,9.0,1.0,0.0,3.0,100.0,13.2,3.0,115.0,0.0,0.0,0.0,38.33,8.71,26.4,50.43,37.35,43.89,0.1340207293012314,45.06643396180621,8
137,Arshdeep Singh,India,Bowler,Bowling All-rounder,1.0,2.0,1.0,0.0,0.0,2.0,200.0,20.0,10.0,156.0,0.0,6.0,1.0,15.6,7.8,12.0,64.48,54.492,59.486,0.8983395176239626,70.17372490907582,9
136,Bhuvneshwar Kumar,India,Bowler,Bits and Pieces,1.0,4.0,6.0,0.0,0.0,4.0,66.67,18.4,4.0,115.0,3.0,5.0,0.0,28.75,6.25,27.6,22.293333333333333,51.80217391304348,37.047753623188406,0.3251536555478496,39.456996127271566,10
134,Dinesh Karthik,India,Wicketkeeper Batter,Batsman,3.0,14.0,22.0,1.0,0.0,4.67,63.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.04857142857143,27.01351351351352,34.53104247104247,0.2320428432977177,36.13357872644546,11
