player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
46,Lorcan Tucker,Ireland,Wicketkeeper Batter,Batsman,7.0,204.0,163.0,19.0,4.0,29.14,125.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.563955250812,27.01351351351352,82.78873438216276,0.5565623032635673,92.0041521205652,1
47,Harry Tector,Ireland,Middle order Batter,Batsman,6.0,68.0,75.0,4.0,1.0,11.33,90.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.00980392156863,27.01351351351352,50.011658717541074,0.5467495466719238,55.48042906396639,2
45,Andy Balbirnie,Ireland,Batter,Batsman,7.0,153.0,123.0,10.0,9.0,21.86,124.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.08747010999522,30.015015015015017,72.05124256250512,0.5942026141954841,80.6138498998398,3
153,Fionn Hand,Ireland,Bowling Allrounder,Bits and Pieces,3.0,12.0,11.0,2.0,0.0,4.0,109.09,5.0,1.0,54.0,0.0,5.0,0.0,54.0,10.8,30.0,60.51272727272726,29.436000000000003,44.974363636363634,0.8651909239893198,52.75664588243906,4
44,Paul Stirling,Ireland,Batting Allrounder,Batsman,7.0,170.0,127.0,16.0,6.0,24.29,133.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.40940250115796,33.01651651651652,83.71295950883723,0.6654543945620535,94.85439086622743,5
48,Curtis Campher,Ireland,Allrounder,Batting All-rounder,6.0,126.0,77.0,12.0,2.0,21.0,163.64,8.0,2.0,74.0,0.0,0.0,0.0,37.0,9.25,24.0,117.54025974025974,31.85,74.69512987012988,0.9099355739836884,88.28868104456244,6
53,Barry McCarthy,Ireland,Bowler,Bits and Pieces,5.0,36.0,33.0,1.0,2.0,7.2,109.09,25.0,5.0,227.0,0.0,8.0,1.0,45.4,9.08,30.0,54.21575757575758,39.9312,47.073478787878784,0.9788005627993732,56.28858829397881,7
54,Josh Little,Ireland,Bowler,Bowling All-rounder,4.0,16.0,21.0,1.0,1.0,4.0,76.19,27.0,11.0,189.0,0.0,8.0,0.0,17.18,7.0,14.73,43.22095238095238,56.30222222222222,49.7615873015873,0.1213000071385799,50.968803480569214,8
49,George Dockrell,Ireland,Allrounder,Bits and Pieces,6.0,100.0,83.0,10.0,1.0,16.67,120.48,8.0,1.0,56.0,0.0,2.0,0.0,56.0,7.0,48.0,91.99277108433736,29.2125,60.60263554216867,0.0047098450990891,60.6597213473687,9
52,Simi Singh,Ireland,Bowling Allrounder,Bits and Pieces,2.0,7.0,9.0,1.0,0.0,3.5,77.78,9.0,3.0,78.0,0.0,1.0,0.0,26.0,8.67,18.0,45.31857142857143,37.10666666666667,41.21261904761905,0.6608214878947144,46.65945589543618,10
50,Gareth Delany,Ireland,Batting Allrounder,Bowling All-rounder,5.0,69.0,54.0,7.0,1.0,13.8,127.78,23.3,6.0,185.0,0.0,8.0,0.0,30.83,7.94,23.3,95.25309178743964,39.88798283261803,67.57053731002883,0.1452446828302062,69.53338956208117,11
