player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
118,Mohammad Rizwan,Pakistan,Wicketkeeper Batter,Batsman,7.0,175.0,160.0,15.0,3.0,25.0,109.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.58357142857145,27.01351351351352,73.79854247104248,0.657173059373204,83.49822525763814,1
204,Fakhar Zaman,Pakistan,Opening Batter,Batsman,1.0,20.0,16.0,3.0,0.0,20.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8,24.01201201201201,56.40600600600601,0.4594067542277149,61.58866603363965,2
120,Shan Masood,Pakistan,Opening Batter,Batsman,7.0,175.0,148.0,12.0,1.0,25.0,118.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8653281853282,24.01201201201201,77.4386700986701,0.0170795326356043,77.7031933573117,3
199,Mohammad Haris,Pakistan,Middle order Batter,Batsman,4.0,97.0,67.0,6.0,6.0,24.25,144.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.12386367133404,27.01351351351352,71.56868859242378,0.992247519670907,85.77145934081018,4
121,Iftikhar Ahmed,Pakistan,Middle order Batter,Batting All-rounder,7.0,114.0,93.0,6.0,6.0,16.29,122.58,3.5,1.0,28.0,0.0,0.0,0.0,28.0,8.0,21.0,108.92390492359932,27.282857142857143,68.10338103322823,0.7159942221651084,77.85570649916828,5
119,Babar Azam,Pakistan,Batter,Batsman,7.0,124.0,133.0,13.0,0.0,17.71,93.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.07387824399709,30.015015015015017,58.544446629506055,0.4125254911516881,63.37466194951421,6
124,Mohammad Nawaz,Pakistan,Allrounder,Bits and Pieces,5.0,68.0,64.0,7.0,2.0,13.6,106.25,9.0,3.0,67.0,0.0,2.0,1.0,22.33,7.44,18.0,80.54705882352941,33.099999999999994,56.8235294117647,0.7922167710550491,65.82684000987267,7
200,Mohammad Wasim,Pakistan,Allrounder,Bowling All-rounder,3.0,16.0,22.0,2.0,0.0,5.33,72.73,17.0,8.0,124.0,0.0,8.0,0.0,15.5,7.29,12.75,48.89090909090909,40.98823529411764,44.93957219251337,0.4543502578004291,49.02323343473525,8
122,Shadab Khan,Pakistan,Allrounder,Bowling All-rounder,6.0,98.0,58.0,7.0,5.0,16.33,168.97,26.0,11.0,165.0,0.0,0.0,0.0,15.0,6.35,14.18,114.74130893736805,51.15384615384615,82.9475775456071,0.7249303084281659,94.97382014030832,9
127,Haris Rauf,Pakistan,Bowler,Bowling All-rounder,3.0,10.0,7.0,0.0,1.0,3.33,142.86,26.0,8.0,178.0,1.0,3.0,0.0,22.25,6.85,19.5,62.51428571428571,55.45846153846154,58.98637362637363,0.7948194773288844,68.36307735742174,10
126,Shaheen Shah Afridi,Pakistan,Bowler,Bowling All-rounder,3.0,22.0,12.0,2.0,1.0,7.33,183.33,25.1,11.0,155.0,0.0,2.0,0.0,14.09,6.18,13.69,79.21939393939394,60.29163346613545,69.75551370276469,0.3330104866987787,74.40137721638088,11
