player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
108,Johnson Charles,West Indies,Wicketkeeper Batter,Batsman,2.0,69.0,54.0,6.0,3.0,34.5,127.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.07917874396136,27.01351351351352,63.04634612873744,0.0764055625503272,64.0097644372792,1
109,Evin Lewis,West Indies,Opening Batter,Batsman,3.0,42.0,49.0,2.0,1.0,14.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.26285714285714,24.01201201201201,46.137434577434576,0.7722353928956308,53.2632265610549,2
110,Brandon King,West Indies,Top order Batter,Batsman,2.0,79.0,63.0,9.0,1.0,39.5,125.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.7697166968053,24.01201201201201,65.89086435440866,0.6133702487342455,73.97396352608428,3
112,Rovman Powell,West Indies,Middle order Batter,Batsman,3.0,39.0,35.0,2.0,2.0,13.0,111.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.82164835164836,27.01351351351352,52.91758093258094,0.8976054643440758,62.41740289357184,4
161,Shamarh Brooks,West Indies,Top order Batter,Batsman,2.0,4.0,12.0,0.0,0.0,2.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.439999999999998,24.01201201201201,20.726006006006006,0.9536268685133574,24.67898124686532,5
107,Kyle Mayers,West Indies,Batting Allrounder,Batsman,3.0,34.0,30.0,5.0,1.0,11.33,113.33,3.0,0.0,41.0,0.0,3.0,0.0,0.0,13.67,0.0,86.32196078431375,26.85651651651652,56.58923865041513,0.4338211765201301,61.49916066835544,6
117,Jason Holder,West Indies,Bowling Allrounder,Bits and Pieces,2.0,42.0,36.0,4.0,1.0,21.0,116.67,10.2,5.0,49.0,0.0,0.0,0.0,9.8,4.8,12.24,67.48285714285716,43.76274509803922,55.62280112044819,0.4889352644028145,61.06199091497849,7
113,Odean Smith,West Indies,Bowling Allrounder,Bits and Pieces,3.0,25.0,22.0,1.0,2.0,8.33,113.64,9.0,2.0,85.0,0.0,2.0,2.0,42.5,9.44,27.0,64.93909090909091,32.69444444444445,48.81676767676768,0.0098793303084443,48.91322307126156,8
115,Akeal Hosein,West Indies,Bowler,Bits and Pieces,2.0,24.0,19.0,2.0,0.0,12.0,126.32,12.0,2.0,94.0,0.0,1.0,1.0,47.0,7.83,36.0,54.18105263157895,37.28,45.73052631578948,0.3713705622626204,49.12712056988154,9
116,Alzarri Joseph,West Indies,Bowler,Bowler,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,83.0,0.0,3.0,0.0,13.83,6.92,12.0,0.0,47.60999999999999,23.805,0.99855375811688,28.559114442394463,10
111,Nicholas Pooran,West Indies,Wicketkeeper Batter,Batsman,3.0,25.0,29.0,0.0,1.0,8.33,86.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.10103448275862,27.01351351351352,40.55727399813607,0.0760209957430327,41.17391486892833,11
