player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating,position
218,Regis Chakabva,Zimbabwe,Wicketkeeper Batter,Batsman,1.0,13.0,9.0,3.0,0.0,13.0,144.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.30709401709404,27.01351351351352,62.66030376530377,0.7152322703274333,71.62363802959673,1
37,Craig Ervine,Zimbabwe,Middle order Batter,Batsman,7.0,112.0,125.0,13.0,0.0,16.0,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7054285714286,27.01351351351352,59.35947104247106,0.4813699387578865,65.07424403055403,2
41,Milton Shumba,Zimbabwe,Top order Batter,Batsman,7.0,65.0,82.0,5.0,0.0,9.29,79.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.52570356472795,24.01201201201201,48.26885778836999,0.5776706112011523,53.84555790448782,3
42,Ryan Burl,Zimbabwe,Middle order Batter,Batsman,7.0,101.0,97.0,11.0,2.0,14.43,104.12,5.0,0.0,48.0,0.0,0.0,0.0,0.0,9.6,0.0,97.44146269266103,24.42151351351352,60.93148810308728,0.0127326542044807,61.08665201672348,4
38,Wessly Madhevere,Zimbabwe,Allrounder,Batsman,8.0,106.0,83.0,15.0,2.0,13.25,127.71,3.0,0.0,25.0,0.0,0.0,0.0,0.0,8.33,0.0,103.26169583996362,27.515015015015017,65.38835542748932,0.5893361643952992,73.09549994423993,5
203,Brad Evans,Zimbabwe,Allrounder,Bits and Pieces,2.0,21.0,17.0,0.0,1.0,10.5,123.53,7.0,2.0,57.0,0.0,1.0,0.0,28.5,8.14,21.0,64.28319327731093,31.77142857142857,48.02731092436975,0.977260055551611,57.414345432758566,6
40,Sikandar Raza,Zimbabwe,Batting Allrounder,All-rounder,8.0,219.0,148.0,16.0,11.0,27.38,147.97,24.0,10.0,156.0,0.0,5.0,1.0,15.6,6.5,14.4,156.96714920399856,50.70083333333334,103.83399126866595,0.9156551993307152,122.84921806314875,7
43,Luke Jongwe,Zimbabwe,Bowler,Bits and Pieces,4.0,55.0,41.0,6.0,1.0,13.75,134.15,5.0,2.0,59.0,0.0,3.0,1.0,29.5,11.8,15.0,69.21773835920179,35.352,52.28486917960089,0.6727844616849517,59.32015869265408,8
55,Richard Ngarava,Zimbabwe,Bowler,Bowling All-rounder,5.0,21.0,20.0,0.0,2.0,4.2,105.0,28.0,9.0,197.0,1.0,7.0,3.0,21.89,7.04,18.67,52.35428571428571,53.631428571428565,52.99285714285713,0.1686927266531718,54.780759055771256,9
39,Sean Williams,Zimbabwe,Middle order Batter,Batting All-rounder,8.0,155.0,137.0,14.0,2.0,19.38,113.14,18.0,5.0,111.0,0.0,4.0,1.0,22.2,6.17,21.6,115.40844125264894,32.71,74.05922062632447,0.0028599890613882,74.10158233850171,10
213,Tony Munyonga,Zimbabwe,Allrounder,Batsman,2.0,7.0,10.0,1.0,0.0,3.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.24285714285714,30.015015015015017,38.62893607893608,0.8872479596319978,45.48362502269426,11
