player_id,name,team,playing_role,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
58,Hazratullah Zazai,Afghanistan,Opening Batter,9.89,99.28,54.58,-1.28,37.82
59,Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter,43.33,99.28,71.31,0.1,49.94
60,Ibrahim Zadran,Afghanistan,Opening Batter,39.65,99.28,69.46,0.14,48.67
61,Usman Ghani,Afghanistan,Opening Batter,32.87,99.28,66.07,-0.19,46.2
62,Najibullah Zadran,Afghanistan,Middle order Batter,26.9,99.28,63.09,0.06,44.18
63,Mohammad Nabi,Afghanistan,Allrounder,24.68,99.28,61.98,0.5,43.54
64,Azmatullah Omarzai,Afghanistan,Allrounder,22.38,89.66,56.02,0.04,39.22
65,Rashid Khan,Afghanistan,Bowling Allrounder,47.02,77.99,62.51,1.16,44.1
66,Mujeeb Ur Rahman,Afghanistan,Bowler,5.98,74.16,40.07,-0.31,27.95
67,Fareed Ahmad,Afghanistan,Bowler,9.46,42.75,26.1,-1.64,17.78
68,Fazalhaq Farooqi,Afghanistan,Bowler,0.05,70.58,35.31,-0.77,24.49
80,Mohammad Nabi,Afghanistan,Allrounder,0.0,44.68,22.34,-2.57,14.87
209,Gulbadin Naib,Afghanistan,Batting Allrounder,39.72,88.09,63.91,0.06,44.75
210,Darwish Rasooli,Afghanistan,Top order Batter,25.87,99.28,62.57,-1.03,43.49
211,Naveen-ul-Haq,Afghanistan,Bowler,0.02,91.12,45.57,0.21,31.97
24,David Warner,Australia,Opening Batter,29.6,99.28,64.44,-0.34,45.0
25,Aaron Finch,Australia,Top order Batter,50.01,99.28,74.64,0.05,52.26
26,Mitchell Marsh,Australia,Allrounder,51.47,84.76,68.11,0.97,47.97
27,Glenn Maxwell,Australia,Batting Allrounder,57.04,91.91,74.48,0.86,52.39
28,Marcus Stoinis,Australia,Batting Allrounder,62.13,0.47,31.3,-2.38,21.2
29,Josh Hazlewood,Australia,Bowler,17.66,71.68,44.67,0.12,31.31
30,Pat Cummins,Australia,Bowler,24.68,48.85,36.76,-0.63,25.55
31,Mitchell Starc,Australia,Bowler,11.53,59.39,35.46,-0.75,24.6
32,Ashton Agar,Australia,Bowler,0.02,67.99,34.01,-0.89,23.54
