player_id,name,team,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs
1,Michael van Lingen,Namibia,Bowling Allrounder,33.0,33.0,4.0,0.0,3.0,,,,,,
2,Divan la Cock,Namibia,Opening Batter,9.0,11.0,1.0,0.0,2.0,,,,,,
3,Jan Nicol Loftie-Eaton,Namibia,Batter,21.0,20.0,1.0,2.0,3.0,1.0,0.0,8.0,0.0,0.0,1.0
4,Stephan Baard,Namibia,Batter,49.0,52.0,3.0,0.0,3.0,,,,,,
5,Gerhard Erasmus(c),Namibia,Allrounder,52.0,60.0,2.0,0.0,3.0,,,,,,
6,Jan Frylinck,Namibia,Allrounder,101.0,93.0,6.0,1.0,3.0,11.0,3.0,72.0,1.0,2.0,0.0
7,David Wiese,Namibia,Allrounder,66.0,42.0,4.0,3.0,3.0,10.3,3.0,65.0,0.0,1.0,0.0
8,JJ Smit,Namibia,Bowling Allrounder,39.0,23.0,3.0,2.0,3.0,11.0,3.0,79.0,0.0,1.0,0.0
9,Pathum Nissanka,Sri Lanka,Top order Batter,214.0,196.0,13.0,8.0,7.0,,,,,,
10,Kusal Mendis†,Sri Lanka,Wicketkeeper Batter,223.0,156.0,17.0,10.0,8.0,,,,,,
11,Dhananjaya de Silva,Sri Lanka,Allrounder,177.0,137.0,15.0,4.0,8.0,12.1,6.0,83.0,0.0,0.0,0.0
12,Danushka Gunathilaka,Sri Lanka,Allrounder,0.0,1.0,0.0,0.0,1.0,,,,,,
13,Bhanuka Rajapaksa,Sri Lanka,Top order Batter,125.0,105.0,14.0,2.0,7.0,,,,,,
14,Dasun Shanaka(c),Sri Lanka,Allrounder,78.0,74.0,6.0,3.0,7.0,,,,,,
15,Wanindu Hasaranga de Silva,Sri Lanka,Allrounder,25.0,34.0,2.0,0.0,6.0,31.0,15.0,199.0,1.0,0.0,0.0
16,Chamika Karunaratne,Sri Lanka,Bowling Allrounder,32.0,38.0,3.0,0.0,6.0,18.0,3.0,144.0,0.0,4.0,0.0
17,Pramod Madushan,Sri Lanka,Bowler,1.0,1.0,0.0,0.0,2.0,10.0,3.0,75.0,0.0,1.0,0.0
18,Dushmantha Chameera,Sri Lanka,Bowler,9.0,16.0,0.0,0.0,2.0,7.5,4.0,54.0,0.0,2.0,0.0
19,Maheesh Theekshana,Sri Lanka,Bowler,11.0,14.0,0.0,1.0,3.0,30.1,9.0,202.0,0.0,8.0,1.0
20,Gerhard Erasmus,Namibia,Allrounder,,,,,,4.0,0.0,21.0,0.0,1.0,0.0
21,Bernard Scholtz,Namibia,Bowler,1.0,1.0,0.0,0.0,1.0,12.0,4.0,61.0,0.0,0.0,0.0
22,Ben Shikongo,Namibia,Bowler,,,,,,5.0,3.0,48.0,1.0,1.0,0.0
23,Charith Asalanka,Sri Lanka,Batting Allrounder,131.0,113.0,9.0,2.0,7.0,1.0,0.0,8.0,0.0,0.0,0.0
24,David Warner,Australia,Opening Batter,44.0,41.0,6.0,0.0,4.0,,,,,,
25,Aaron Finch(c),Australia,Top order Batter,107.0,97.0,6.0,5.0,3.0,,,,,,
26,Mitchell Marsh,Australia,Allrounder,106.0,81.0,8.0,6.0,4.0,1.0,0.0,14.0,0.0,0.0,0.0
27,Glenn Maxwell,Australia,Batting Allrounder,118.0,73.0,11.0,6.0,4.0,3.1,3.0,19.0,0.0,0.0,0.0
28,Marcus Stoinis,Australia,Batting Allrounder,126.0,78.0,7.0,9.0,4.0,9.0,1.0,87.0,0.0,4.0,0.0
29,Josh Hazlewood,Australia,Bowler,1.0,1.0,0.0,0.0,1.0,15.0,5.0,124.0,0.0,5.0,0.0
30,Pat Cummins,Australia,Bowler,21.0,20.0,2.0,1.0,2.0,16.0,3.0,132.0,0.0,5.0,0.0
31,Mitchell Starc,Australia,Bowler,4.0,7.0,0.0,0.0,1.0,12.0,3.0,102.0,1.0,3.0,1.0
32,Ashton Agar,Australia,Bowler,,,,,,4.0,1.0,25.0,0.0,1.0,0.0
33,Binura Fernando,Sri Lanka,Bowler,,,,,,8.5,2.0,65.0,0.0,2.0,0.0
34,Lahiru Kumara,Sri Lanka,Bowler,4.0,5.0,1.0,0.0,1.0,19.7,7.0,153.0,0.0,10.0,2.0
35,Dasun Shanaka,Sri Lanka,Allrounder,,,,,,3.1,1.0,24.0,0.0,1.0,0.0
36,Regis Chakabva†,Zimbabwe,Wicketkeeper Batter,32.0,55.0,2.0,1.0,7.0,,,,,,
37,Craig Ervine(c),Zimbabwe,Middle order Batter,112.0,125.0,13.0,0.0,7.0,,,,,,
38,Wessly Madhevere,Zimbabwe,Allrounder,106.0,83.0,15.0,2.0,8.0,3.0,0.0,25.0,0.0,0.0,0.0
39,Sean Williams,Zimbabwe,Middle order Batter,155.0,137.0,14.0,2.0,8.0,18.0,5.0,111.0,0.0,4.0,1.0
40,Sikandar Raza,Zimbabwe,Batting Allrounder,219.0,148.0,16.0,11.0,8.0,24.0,10.0,156.0,0.0,5.0,1.0
41,Milton Shumba,Zimbabwe,Top order Batter,65.0,82.0,5.0,0.0,7.0,,,,,,
42,Ryan Burl,Zimbabwe,Middle order Batter,101.0,97.0,11.0,2.0,7.0,5.0,0.0,48.0,0.0,0.0,0.0
43,Luke Jongwe,Zimbabwe,Bowler,55.0,41.0,6.0,1.0,4.0,5.0,2.0,59.0,0.0,3.0,1.0
44,Paul Stirling,Ireland,Batting Allrounder,170.0,127.0,16.0,6.0,7.0,,,,,,
45,Andy Balbirnie(c),Ireland,Batter,153.0,123.0,10.0,9.0,7.0,,,,,,
46,Lorcan Tucker†,Ireland,Wicketkeeper Batter,204.0,163.0,19.0,4.0,7.0,,,,,,
47,Harry Tector,Ireland,Middle order Batter,68.0,75.0,4.0,1.0,6.0,,,,,,
48,Curtis Campher,Ireland,Allrounder,126.0,77.0,12.0,2.0,6.0,8.0,2.0,74.0,0.0,0.0,0.0
49,George Dockrell,Ireland,Allrounder,100.0,83.0,10.0,1.0,6.0,8.0,1.0,56.0,0.0,2.0,0.0
50,Gareth Delany,Ireland,Batting Allrounder,69.0,54.0,7.0,1.0,5.0,23.3,6.0,185.0,0.0,8.0,0.0
51,Mark Adair,Ireland,Bowling Allrounder,28.0,31.0,1.0,1.0,5.0,24.0,4.0,212.0,0.0,17.0,0.0
52,Simi Singh,Ireland,Bowling Allrounder,7.0,9.0,1.0,0.0,2.0,9.0,3.0,78.0,0.0,1.0,0.0
53,Barry McCarthy,Ireland,Bowler,36.0,33.0,1.0,2.0,5.0,25.0,5.0,227.0,0.0,8.0,1.0
54,Josh Little,Ireland,Bowler,16.0,21.0,1.0,1.0,4.0,27.0,11.0,189.0,0.0,8.0,0.0
55,Richard Ngarava,Zimbabwe,Bowler,21.0,20.0,0.0,2.0,5.0,28.0,9.0,197.0,1.0,7.0,3.0
56,Tendai Chatara,Zimbabwe,Bowler,13.0,19.0,1.0,0.0,3.0,23.0,4.0,155.0,1.0,4.0,0.0
