player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate
58,Hazratullah Zazai,Afghanistan,Opening Batter,Batsman,1.0,7.0,17.0,1.0,0.0,7.0,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter,Batsman,3.0,68.0,50.0,4.0,5.0,22.67,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Ibrahim Zadran,Afghanistan,Opening Batter,Batsman,3.0,80.0,83.0,6.0,2.0,26.67,96.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Usman Ghani,Afghanistan,Opening Batter,Batsman,3.0,59.0,64.0,5.0,1.0,19.67,92.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Najibullah Zadran,Afghanistan,Middle order Batter,Batsman,3.0,31.0,29.0,1.0,1.0,10.33,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Mohammad Nabi,Afghanistan,Allrounder,Batsman,3.0,17.0,15.0,1.0,0.0,5.67,113.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Azmatullah Omarzai,Afghanistan,Allrounder,Batsman,2.0,11.0,10.0,1.0,0.0,5.5,110.0,3.1,0.0,28.0,0.0,4.0,0.0,0.0,9.03,0.0
65,Rashid Khan,Afghanistan,Bowling Allrounder,Bits and Pieces,3.0,57.0,32.0,4.0,4.0,19.0,178.12,12.0,4.0,77.0,0.0,2.0,0.0,19.25,6.42,18.0
66,Mujeeb Ur Rahman,Afghanistan,Bowler,Bits and Pieces,2.0,1.0,3.0,0.0,0.0,0.5,33.33,12.0,4.0,88.0,0.0,1.0,0.0,22.0,7.33,18.0
67,Fareed Ahmad,Afghanistan,Bowler,Bits and Pieces,1.0,2.0,4.0,0.0,0.0,2.0,50.0,4.0,1.0,48.0,0.0,2.0,0.0,48.0,12.0,24.0
68,Fazalhaq Farooqi,Afghanistan,Bowler,Bowler,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11.3,3.0,75.0,1.0,4.0,0.0,25.0,6.64,22.6
80,Mohammad Nabi,Afghanistan,Allrounder,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,46.0,0.0,0.0,0.0,46.0,7.67,36.0
209,Gulbadin Naib,Afghanistan,Batting Allrounder,Batsman,2.0,51.0,37.0,3.0,2.0,25.5,137.84,4.0,0.0,43.0,0.0,0.0,0.0,0.0,10.75,0.0
210,Darwish Rasooli,Afghanistan,Top order Batter,Batsman,1.0,15.0,13.0,1.0,0.0,15.0,115.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Naveen-ul-Haq,Afghanistan,Bowler,Bowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,21.0,0.0,0.0,0.0,7.0,5.25,8.0
24,David Warner,Australia,Opening Batter,Batsman,4.0,44.0,41.0,6.0,0.0,11.0,107.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Aaron Finch,Australia,Top order Batter,Batsman,3.0,107.0,97.0,6.0,5.0,35.67,110.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Mitchell Marsh,Australia,Allrounder,Batsman,4.0,106.0,81.0,8.0,6.0,26.5,130.86,1.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0
27,Glenn Maxwell,Australia,Batting Allrounder,Batting All-rounder,4.0,118.0,73.0,11.0,6.0,29.5,161.64,3.1,3.0,19.0,0.0,0.0,0.0,6.33,6.13,6.2
28,Marcus Stoinis,Australia,Batting Allrounder,Batting All-rounder,4.0,126.0,78.0,7.0,9.0,31.5,161.54,9.0,1.0,87.0,0.0,4.0,0.0,87.0,9.67,54.0
29,Josh Hazlewood,Australia,Bowler,Bits and Pieces,1.0,1.0,1.0,0.0,0.0,1.0,100.0,15.0,5.0,124.0,0.0,5.0,0.0,24.8,8.27,18.0
30,Pat Cummins,Australia,Bowler,Bits and Pieces,2.0,21.0,20.0,2.0,1.0,10.5,105.0,16.0,3.0,132.0,0.0,5.0,0.0,44.0,8.25,32.0
31,Mitchell Starc,Australia,Bowler,Bits and Pieces,1.0,4.0,7.0,0.0,0.0,4.0,57.14,12.0,3.0,102.0,1.0,3.0,1.0,34.0,8.5,24.0
32,Ashton Agar,Australia,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0,1.0,0.0,25.0,6.25,24.0
179,Tim David,Australia,Middle order Batter,Batsman,2.0,26.0,18.0,2.0,1.0,13.0,144.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Matthew Wade,Australia,Wicketkeeper Batter,Batsman,2.0,9.0,7.0,1.0,0.0,4.5,128.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
