player_id,name,team,batting_style,bowling_style,playing_role,role_consistency_score
1,Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder,0.15323975644511367
2,Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,0.9426506555089211
3,Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter,0.20921366060082336
4,Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter,0.33049946290695653
5,Gerhard Erasmus(c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder,0.4842090138599784
6,Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,0.6214424533593994
7,David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,0.9204589331953646
8,JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,0.7868343804906325
9,Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter,0.5315197708622975
10,Kusal Mendis†,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,0.3442760396166019
11,Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,0.6913421424074524
12,Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder,0.07352444516839451
13,Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter,0.7348163786218953
14,Dasun Shanaka(c),Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,0.5577110831872062
15,Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,Allrounder,0.6113047330334515
16,Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder,0.9865228462170111
17,Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,0.6718149838852305
18,Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,0.8236351426616773
19,Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,0.5382764340677472
20,Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,0.3123004493947128
21,Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,0.9425423442418471
22,Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,0.6465933940884037
23,Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,0.049416222694533385
24,David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,0.5544888456282163
25,Aaron Finch(c),Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,0.9299114788212317
26,Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,0.5309576657965788
27,Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,0.8446849706022962
28,Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,0.6030673889450527
29,Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,0.6798141964252555
30,Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,0.6294974594988065
31,Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,0.7035786375643482
32,Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,0.7179799778021658
33,Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,0.7513505207354925
34,Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,0.38240247440412567
35,Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,0.1554543553137776
36,Regis Chakabva†,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.38446481788878295
37,Craig Ervine(c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,0.5563499319306159
38,Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,0.3180677942083856
39,Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,0.5986845839040755
40,Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder,0.055526534304045416
41,Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,0.7456308040732611
42,Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,0.6467505608822065
43,Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,0.05441578514397849
44,Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,0.4338626541185423
45,Andy Balbirnie(c),Ireland,Right hand Bat,Right arm Offbreak,Batter,0.8101440472022124
46,Lorcan Tucker†,Ireland,Right hand Bat,,Wicketkeeper Batter,0.1506573001331003
47,Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,0.7515788216834944
48,Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,0.000783743393767522
49,George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,0.7198522267753786
50,Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,0.19630103017810308
51,Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,0.44924297191407603
52,Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,0.20114763125643043
53,Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,0.5496825054952813
54,Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,0.24072786552294023
55,Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,0.013610749965167979
56,Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,0.9136117087119777
57,Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,0.698695992003942
58,Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,0.8469035848861693
59,Rahmanullah Gurbaz†,Afghanistan,Right hand Bat,,Wicketkeeper Batter,0.3533053046637207
60,Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,0.6793529007869972
61,Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter,0.9576258117793603
62,Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,0.12209861390828658
63,Mohammad Nabi(c),Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,0.9244676741986252
64,Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,0.9514227892270042
65,Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,0.29662299490905275
66,Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,0.0018605257033611489
67,Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,0.06569075925050982
68,Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,0.06957000769903388
69,Jos Buttler(c)†,England,Right hand Bat,,Wicketkeeper Batter,0.556962685162087
70,Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter,0.3740037922816699
71,Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter,0.17407500518843366
72,Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,0.49803756713787206
73,Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder,0.3837561246741047
74,Harry Brook,England,Right hand Bat,Right arm Medium,Batter,0.12181991649690171
75,Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,0.7973371001024367
76,Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,0.9465700952045732
77,Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,0.921972535248367
78,Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,0.27104697192821725
79,Adil Rashid,England,Right hand Bat,Legbreak,Bowler,0.6381636104944379
80,Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,0.47716748049496094
81,Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,0.5057587536846117
82,Vriitya Aravind†,U.A.E.,Right hand Bat,,Wicketkeeper,0.48162296486328493
83,Chundangapoyil Rizwan(c),U.A.E.,Right hand Bat,Legbreak Googly,Middle order Batter,0.0696700898869802
84,Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,0.5939379482489437
85,Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter,0.9936344169842858
86,Zane Green†,Namibia,Left hand Bat,,Wicketkeeper Batter,0.1709876224766329
87,Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,0.4990791965854011
88,Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,0.7707308148657727
89,Zahoor Khan,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,0.0488479436602024
90,Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler,0.7462922425978639
91,Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler,0.13559003739132403
92,Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,0.836945501108091
93,Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,0.3738830482423211
94,Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder,0.7775269511387531
95,Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,Bowler,0.8329608794597673
96,Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter,0.9533444192766859
97,Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,0.4631973609575749
98,Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,0.0863893352874594
99,Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,0.1736103583137968
100,Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,0.5629099074365062
101,Scott Edwards(c)†,Netherlands,Right hand Bat,,Wicketkeeper Batter,0.39367056884755713
102,Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,0.5710471466277668
103,Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,0.8019751800454324
104,Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,0.6882189525423474
105,Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,0.8761051207236801
106,Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,0.5853473229254664
107,Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,0.19342909901359573
108,Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,0.4780274183141596
109,Evin Lewis,West Indies,Left hand Bat,,Opening Batter,0.8036460402912375
110,Brandon King,West Indies,Right hand Bat,,Top order Batter,0.7307124257420639
111,Nicholas Pooran(c)†,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.5352636127893332
112,Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,0.02323457174299859
113,Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,0.20777486520959398
114,Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,0.430044948053366
115,Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,0.11876170410188291
116,Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,0.6145891291943425
117,Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,0.3856948285205387
118,Mohammad Rizwan†,Pakistan,Right hand Bat,,Wicketkeeper Batter,0.9065501962890846
119,Babar Azam(c),Pakistan,Right hand Bat,Right arm Offbreak,Batter,0.49970570152142313
120,Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,0.6628844102154046
