player_id,name,team,batting_style,bowling_style,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,batting_strike_rate,bowling_economy,player_rating
1,Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder,33.0,33.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,82.0
2,Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,9.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818181818183,0.0,73.22727272727273
3,Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter,21.0,20.0,1.0,2.0,3.0,1.0,0.0,8.0,0.0,0.0,1.0,105.0,8.0,81.30000000000001
4,Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter,49.0,52.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,94.23076923076923,0.0,79.1923076923077
5,Gerhard Erasmus(c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder,52.0,60.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666666666667,0.0,75.66666666666667
6,Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,101.0,93.0,6.0,1.0,3.0,11.0,3.0,72.0,1.0,2.0,0.0,108.6021505376344,6.545454545454546,90.82267839687194
7,David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,66.0,42.0,4.0,3.0,3.0,10.3,3.0,65.0,0.0,1.0,0.0,157.14285714285714,6.310679611650485,111.33287101248267
8,JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,39.0,23.0,3.0,2.0,3.0,11.0,3.0,79.0,0.0,1.0,0.0,169.56521739130434,7.181818181818182,114.45335968379446
9,Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter,214.0,196.0,13.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,109.18367346938776,0.0,98.1734693877551
10,Kusal Mendis†,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,223.0,156.0,17.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,142.94871794871796,0.0,115.67948717948718
